sim_time_s,wall_ahead,wall_left,wall_front_right,wall_right,left_density,center_density,right_density,mean_right,target_visible,target_direction,left_velocity,right_velocity
6.56,False,False,False,True,0.01854,0.01042,0.01042,189.99,False,,3.0,3.0
6.592,False,False,False,True,0.01854,0.01042,0.01042,190.124,False,,3.0,3.0
6.624,False,False,False,True,0.01842,0.01042,0.01042,190.392,False,,3.0,3.0
6.656,False,False,False,True,0.01842,0.01042,0.01042,190.526,False,,3.0,3.0
6.688,False,False,False,True,0.01842,0.01042,0.01042,190.794,False,,3.0,3.0
6.72,False,False,False,True,0.01848,0.01042,0.01042,190.928,False,,3.0,3.0
6.752,False,False,False,True,0.01848,0.01042,0.01042,191.062,False,,3.0,3.0
6.784,False,False,False,True,0.01835,0.01042,0.01042,191.331,False,,3.0,3.0
6.816,False,False,False,True,0.01842,0.01042,0.01042,191.465,False,,3.0,3.0
6.848,False,False,False,True,0.01854,0.01042,0.01042,191.733,False,,3.0,3.0
6.88,False,False,False,True,0.01848,0.01042,0.01042,191.867,False,,3.0,3.0
6.912,False,False,False,True,0.01835,0.01042,0.01042,192.136,False,,3.0,3.0
6.944,False,False,False,True,0.01835,0.01042,0.01042,192.27,False,,3.0,3.0
6.976,False,False,False,True,0.01854,0.01042,0.01042,192.538,False,,3.0,3.0
7.008,False,False,False,True,0.01848,0.01042,0.01042,192.673,False,,3.0,3.0
7.04,False,False,False,True,0.01854,0.01042,0.01042,192.941,False,,3.0,3.0
7.072,False,False,False,True,0.01854,0.01042,0.01042,193.075,False,,3.0,3.0
7.104,False,False,False,True,0.0186,0.01042,0.01042,193.344,False,,3.0,3.0
7.136,False,False,False,True,0.0186,0.01042,0.01042,193.478,False,,3.0,3.0
7.168,False,False,False,True,0.01854,0.01042,0.01042,193.747,False,,3.0,3.0
7.2,False,False,False,True,0.0186,0.01042,0.01042,193.881,False,,3.0,3.0
7.232,False,False,False,True,0.01866,0.01042,0.01042,194.015,False,,3.0,3.0
7.264,False,False,False,True,0.01866,0.01042,0.01042,194.284,False,,3.0,3.0
7.296,False,False,False,True,0.0186,0.01042,0.01042,194.418,False,,3.0,3.0
7.328,False,False,False,True,0.01879,0.01042,0.01042,194.686,False,,3.0,3.0
7.36,False,False,False,True,0.01879,0.01042,0.01042,194.82,False,,3.0,3.0
7.392,False,False,False,False,0.01885,0.01042,0.01042,195.089,False,,3.0,3.0
7.424,False,False,False,False,0.01879,0.01042,0.01042,195.223,False,,3.0,3.0
7.456,False,False,False,False,0.01879,0.01042,0.01042,195.492,False,,3.0,3.0
7.488,False,False,False,False,0.01879,0.01042,0.01042,195.626,False,,3.0,3.0
7.52,False,False,False,False,0.01879,0.01042,0.01042,195.894,False,,3.0,3.0
7.552,False,False,False,False,0.01891,0.01042,0.01042,196.029,False,,3.0,3.0
7.584,False,False,False,False,0.01879,0.01042,0.01042,196.297,False,,3.0,3.0
7.616,False,False,False,False,0.01879,0.01042,0.01042,196.431,False,,3.0,3.0
7.648,False,False,False,False,0.01885,0.01042,0.01042,196.685,False,,3.0,3.0
7.68,False,False,False,False,0.01897,0.01042,0.01042,196.834,False,,3.0,3.0
7.712,False,False,False,False,0.01885,0.01042,0.01042,196.968,False,,3.0,3.0
7.744,False,False,False,False,0.01879,0.01042,0.01042,197.237,False,,3.0,3.0
7.776,False,False,False,False,0.01885,0.01042,0.01042,197.371,False,,3.0,3.0
7.808,False,False,False,False,0.01885,0.01042,0.01042,197.639,False,,3.0,3.0
